DeploymentID,HydrophoneArray,SensorNumber,HydrophoneType,SerialNumber,HydrophoneSensitivity,HighPassFilter
CCES_4,3,0,HTI-92-WB,856073,-154.8,20
CCES_4,3,1,HTI-96-min,856040,-164.7,20
CCES_7,12,0,HTI-92-WB,856049,-154.5,20
CCES_7,12,1,HTI-96-min,856068,-165.1,20
CCES_8,D,0,HTI-92-WB,856095,-155.2,20
CCES_8,D,1,HTI-96-min,856041,-164.5,20
CCES_10,E,0,HTI-92-WB,856096,-155.6,20
CCES_10,E,1,HTI-96-min,856044,-164.7,20
CCES_12,G,0,HTI-92-WB,856097,-155.2,20
CCES_12,G,1,HTI-96-min,856017,-181.4,20
CCES_13,H,0,HTI-92-WB,856051,-154.7,20
CCES_13,H,1,HTI-96-min,856067,-164.9,20
CCES_14,J,0,HTI-92-WB,856048,-155.6,20
CCES_14,J,1,HTI-96-min,856059,-165.0,20
CCES_16,12,0,HTI-92-WB,856049,-154.5,20
CCES_16,12,1,HTI-96-min,856068,-165.1,20
CCES_17,3,0,HTI-92-WB,856073,-154.8,20
CCES_17,3,1,HTI-96-min,856040,-164.7,20
CCES_18,E,0,HTI-92-WB,856096,-155.6,20
CCES_18,E,1,HTI-96-min,856044,-164.7,20
CCES_19,D,0,HTI-92-WB,856095,-155.2,20
CCES_19,D,1,HTI-96-min,856041,-164.5,20
CCES_20,G,0,HTI-92-WB,856097,-155.2,20
CCES_20,G,1,HTI-96-min,856017,-181.4,20
CCES_21,J,0,HTI-92-WB,856048,-155.6,20
CCES_21,J,1,HTI-96-min,856059,-165.0,20
CCES_22,H,0,HTI-92-WB,856051,-154.7,20
CCES_22,H,1,HTI-96-min,856067,-164.9,20
CCES_23,J,0,HTI-92-WB,856048,-155.6,20
CCES_23,J,1,HTI-96-min,856059,-165.0,20